zip_code,boroname,total_population,median_household_income,median_household_income_filled,nearest_tj_distance_miles,subway_station_count,area_sq_miles,population_density,income_percentile,transit_access_tier,is_tj_gap,log_population_density
11374,Queens,46128,86333.0,86333.0,0.7484881211487723,1.0,0.9440455757491276,48862.04774954439,0.42718446601941745,low,0,10.796776720057194
11428,Queens,18898,84977.0,84977.0,5.5610465890912755,0.0,0.8316871149850489,22722.48741083325,0.38349514563106796,low,1,10.031154356251031
11355,Queens,79802,53700.0,53700.0,2.4365258910211303,0.0,1.7166044409061065,46488.28704991387,0.12135922330097088,low,0,10.746977179009154
10025,Manhattan,93223,109195.0,109195.0,0.5117747209341125,5.0,0.8888448585374312,104881.07019417964,0.7669902912621359,high,0,11.560591856936327
11103,Queens,35357,92787.0,92787.0,2.081530749739059,2.0,0.6921106228284005,51085.764087118034,0.6456310679611651,medium,0,10.841280722818803
11414,Queens,31090,98209.0,98209.0,3.7244457861741065,1.0,2.3774765698361024,13076.890176100987,0.6747572815533981,low,1,9.478678310479369
11419,Queens,46938,91231.0,91231.0,2.4162412842058,2.0,1.126541960577072,41665.55853450499,0.616504854368932,medium,0,10.63745413244108
10019,Manhattan,44276,121835.0,121835.0,0.8947567560706311,8.0,0.6657734527652124,66503.10224312008,0.8252427184466019,high,0,11.105018912607795
10111,Manhattan,0,,86543.0,0.905177740202592,0.0,0.009563574871201581,0.0,0.5024271844660194,low,0,0.0
11385,Queens,103865,87365.0,87365.0,1.8106422281321912,4.0,3.6471226810006594,28478.61426243622,0.5825242718446602,medium,0,10.256943821278158
11232,Brooklyn,26681,87517.0,87517.0,2.4172934688641345,2.0,1.2415282979451052,21490.448541656773,0.587378640776699,medium,0,9.975410392746804
10003,Manhattan,53825,153750.0,153750.0,0.12582517428873372,7.0,0.5717052474273577,94148.16505919711,0.9029126213592233,high,0,11.452635665848389
10016,Manhattan,54297,153065.0,153065.0,0.10032634806698004,2.0,0.5492173201470155,98862.50489235423,0.8980582524271845,medium,0,11.501495439321259
10152,Manhattan,0,,86543.0,0.5679188768198473,0.0,0.004796615240253497,0.0,0.5024271844660194,low,0,0.0
10153,Manhattan,0,,86543.0,0.6436191095924642,0.0,0.004741852745693731,0.0,0.5024271844660194,low,0,0.0
11364,Queens,36417,101222.0,101222.0,5.09850441775099,0.0,2.508971418006311,14514.712977056479,0.7087378640776699,low,1,9.582986995270051
10020,Manhattan,0,,86543.0,1.0174289328732975,0.0,0.018051949498538365,0.0,0.5024271844660194,low,0,0.0
10115,Manhattan,0,,86543.0,0.9412809146714408,0.0,0.002555152631183334,0.0,0.5024271844660194,low,0,0.0
10311,Staten Island,0,,86543.0,1.2763593424116626,0.0,0.04693280028262745,0.0,0.5024271844660194,low,0,0.0
11451,Queens,0,,86543.0,3.121270445154308,0.0,0.07153538601382138,0.0,0.5024271844660194,low,1,0.0
11203,Brooklyn,76853,68028.0,68028.0,3.969009868085317,0.0,2.1389854387795526,35929.6508553374,0.22815533980582525,low,1,10.489345994481138
10454,Bronx,40368,27500.0,27500.0,1.5595079839717287,4.0,1.060046699952184,38081.3411350848,0.0048543689320388345,medium,0,10.547505966403252
11422,Queens,33085,108519.0,108519.0,7.258699420133436,0.0,2.1520646313375353,15373.608914076736,0.7572815533980582,low,1,9.640472655868392
11229,Brooklyn,79802,72556.0,72556.0,6.647356427117472,3.0,2.062921641291412,38683.97054094747,0.2621359223300971,medium,1,10.563206445472279
10168,Manhattan,0,,86543.0,0.5285780731304157,0.0,0.005100908767374193,0.0,0.5024271844660194,low,0,0.0
11106,Queens,40657,85573.0,85573.0,1.3478775359625137,2.0,0.8624138769205537,47143.25811311749,0.4077669902912621,medium,0,10.760967501496769
11101,Queens,39007,116807.0,116807.0,0.3787462916204061,13.0,2.685231684052928,14526.493274921131,0.8009708737864077,high,0,9.583798221028564
