zip_code,geoid20,boroname,total_population,median_household_income,nearest_tj_distance_ft,nearest_tj_distance_miles
10110,10110,Manhattan,0,,3953.8645998735988,0.7488379924003028
10065,10065,Manhattan,31047,160938.0,1909.0249117359976,0.36155774843484806
11694,11694,Queens,21430,103792.0,49522.00628670267,9.379167857330051
11362,11362,Queens,18156,118989.0,33808.42845453278,6.403111449722118
10307,10307,Staten Island,14821,138807.0,8702.451047809156,1.6481914863274916
10314,10314,Staten Island,93539,104655.0,4066.925380851921,0.7702510191007427
10306,10306,Staten Island,57249,97746.0,13273.61597357299,2.513942419237309
10032,10032,Manhattan,55579,56588.0,11293.343903645671,2.1388908908419832
10302,10302,Staten Island,19693,76089.0,16803.760546301455,3.182530406496488
10024,10024,Manhattan,62576,182614.0,2084.5743600050378,0.39480575000095414
11420,11420,Queens,50060,98584.0,17739.464759606333,3.3597471135618053
11369,11369,Queens,33354,80577.0,16311.612824697531,3.0893206107381688
11411,11411,Queens,20501,118393.0,32710.236271577418,6.195120505980571
10026,10026,Manhattan,37113,74140.0,2779.292802356285,0.5263812125674782
10033,10033,Manhattan,53611,75585.0,14628.030369499988,2.7704602972537855
11221,11221,Brooklyn,90750,85122.0,14027.467560388626,2.6567173409826945
11214,11214,Brooklyn,88994,64286.0,32742.24218496084,6.201182232000159
10034,10034,Manhattan,39037,69786.0,22491.205538169066,4.259698018592626
11205,11205,Brooklyn,50205,86753.0,4413.590237871389,0.8359072420210965
10044,10044,Manhattan,11998,106146.0,3253.755179925517,0.6162415113495298
11204,11204,Brooklyn,81368,67588.0,25853.49509820246,4.896495283750466
10075,10075,Manhattan,23865,146556.0,5202.345251832375,0.9852926613318892
11230,11230,Brooklyn,88252,69522.0,25738.78697924199,4.874770261220074
11218,11218,Brooklyn,71313,95916.0,17507.240582629907,3.315765261861725
10305,10305,Staten Island,41714,86294.0,25167.852547341045,4.766638740026713
11220,11220,Brooklyn,90792,64201.0,18864.641753627024,3.572848816974815
11208,11208,Brooklyn,106901,59988.0,13793.713914877755,2.612445817211696
10012,10012,Manhattan,21846,130938.0,1912.8690979841945,0.36228581401215804
11354,11354,Queens,52325,62833.0,17690.998309755054,3.350567861696033
10010,10010,Manhattan,31905,156127.0,2038.9490534986508,0.38616459346565357
10278,10278,Manhattan,0,,3863.631082657193,0.7317483111093168
10172,10172,Manhattan,0,,3935.133130855256,0.7452903656922832
10021,10021,Manhattan,39479,156712.0,3692.860427350606,0.6994053839679178
10162,10162,Manhattan,1769,110349.0,4740.515880600255,0.8978249773864119
10023,10023,Manhattan,67468,157866.0,1798.0941517524848,0.34054813480160695
10471,10471,Bronx,23400,108738.0,35189.95286655112,6.664763800483166
11235,11235,Brooklyn,81958,61689.0,40792.122524303966,7.725780781118176
11224,11224,Brooklyn,48469,41449.0,41164.913309751515,7.7963850965438475
11237,11237,Brooklyn,45233,82570.0,13237.792180619812,2.5071576099658737
11209,11209,Brooklyn,70756,92656.0,26753.545636830524,5.066959400914872
10473,10473,Bronx,59778,50609.0,24444.722554745367,4.629682302035107
10011,10011,Manhattan,49344,146571.0,1900.4494867628882,0.3599336149172137
11421,11421,Queens,41937,89439.0,6230.646675491284,1.1800467188430463
11234,11234,Brooklyn,87778,94434.0,37230.42945572993,7.05121769994885
11436,11436,Queens,21364,86104.0,21385.920593001058,4.050363748674442
11365,11365,Queens,43258,85375.0,15989.888430571473,3.028387960335506
10017,10017,Manhattan,14985,132518.0,3547.855734783691,0.6719423740120627
10165,10165,Manhattan,0,,2989.5795735243937,0.5662082525614383
10018,10018,Manhattan,8764,133042.0,4836.551471476127,0.916013536264418
10022,10022,Manhattan,34340,171038.0,1869.8199147258797,0.35413255960717416
11426,11426,Queens,19638,107591.0,35211.817358633365,6.668904802771471
11379,11379,Queens,37378,92509.0,6529.075078518468,1.236567249719407
